species,kcal.per.g,neocortex.perc,mass
Artibeus jamaicensis,0.83,52.1,36.0
Cercocebus torquatus,0.66,61.1,4.1
Eulemur fulvus,0.48,50.4,2.2
Galago crassicaudatus,1.41,46.7,0.2
Homo sapiens,2.45,74.6,55.0
Lagothrix lagotricha,0.89,71.2,7.0
Lemur catta,0.64,50.4,2.2
Macaca mulatta,0.76,71.2,5.0
Macaca nemestrina,0.82,68.0,7.5
Microcebus murinus,1.6,49.1,0.07
Nycticebus coucang,0.77,56.6,1.2
Papio cynocephalus,0.66,67.3,18.0
Pongo pygmaeus,2.16,73.0,60.0
Procolobus badius,0.66,69.4,8.0
Propithecus verreauxi,0.52,50.4,3.0
Saimiri sciureus,1.21,56.1,0.8
Saguinus fuscicollis,1.5,50.4,0.3
