Reaction,Days,Subject
275.2,0,308
268.5,1,308
260.7,2,308
259.2,3,308
256.9,4,308
251.5,5,308
247.0,6,308
250.5,7,308
236.2,8,308
219.5,9,308
296.0,0,309
302.5,1,309
290.8,2,309
286.5,3,309
298.2,4,309
284.3,5,309
276.1,6,309
258.7,7,309
253.6,8,309
252.3,9,309
270.1,0,310
272.3,1,310
291.5,2,310
296.5,3,310
286.7,4,310
298.2,5,310
290.7,6,310
287.2,7,310
269.5,8,310
265.8,9,310
310.5,0,330
309.2,1,330
306.8,2,330
298.5,3,330
297.3,4,330
302.5,5,330
288.8,6,330
291.3,7,330
286.5,8,330
261.5,9,330
282.3,0,331
287.5,1,331
290.2,2,331
286.3,3,331
289.5,4,331
288.2,5,331
285.8,6,331
279.5,7,331
273.2,8,331
268.5,9,331
269.6,0,332
278.5,1,332
269.8,2,332
266.6,3,332
271.5,4,332
268.2,5,332
260.5,6,332
263.8,7,332
252.5,8,332
248.7,9,332
261.5,0,333
263.2,1,333
258.5,2,333
255.8,3,333
256.9,4,333
253.5,5,333
249.8,6,333
248.2,7,333
243.5,8,333
238.7,9,333
279.5,0,334
282.3,1,334
280.5,2,334
276.8,3,334
278.2,4,334
274.5,5,334
270.8,6,334
267.5,7,334
263.2,8,334
258.5,9,334
273.2,0,335
276.5,1,335
278.8,2,335
275.2,3,335
274.5,4,335
272.8,5,335
268.5,6,335
265.2,7,335
260.8,8,335
256.5,9,335
268.5,0,337
271.2,1,337
273.5,2,337
270.8,3,337
269.5,4,337
267.2,5,337
264.8,6,337
261.5,7,337
258.2,8,337
253.5,9,337
285.3,0,349
288.5,1,349
286.2,2,349
283.5,3,349
281.8,4,349
279.5,5,349
276.2,6,349
273.5,7,349
270.8,8,349
265.2,9,349
289.5,0,350
292.3,1,350
290.5,2,350
287.8,3,350
285.2,4,350
283.5,5,350
280.8,6,350
277.5,7,350
274.2,8,350
269.5,9,350
276.8,0,351
279.5,1,351
278.2,2,351
275.5,3,351
273.8,4,351
271.5,5,351
268.2,6,351
265.5,7,351
262.8,8,351
258.2,9,351
281.5,0,352
284.2,1,352
282.5,2,352
279.8,3,352
277.5,4,352
275.2,5,352
272.8,6,352
270.5,7,352
267.2,8,352
262.5,9,352
298.5,0,369
301.2,1,369
299.5,2,369
296.8,3,369
294.5,4,369
292.2,5,369
289.8,6,369
287.5,7,369
284.2,8,369
279.5,9,369
293.2,0,370
296.5,1,370
294.8,2,370
292.5,3,370
290.2,4,370
288.5,5,370
285.8,6,370
283.5,7,370
280.2,8,370
275.5,9,370
286.5,0,371
289.2,1,371
287.5,2,371
284.8,3,371
282.5,4,371
280.2,5,371
277.8,6,371
275.5,7,371
272.2,8,371
267.5,9,371
291.8,0,372
294.5,1,372
292.8,2,372
290.5,3,372
288.2,4,372
286.5,5,372
283.8,6,372
281.5,7,372
278.2,8,372
273.5,9,372
